postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3912,15154,32,62,211.2,6,5,22/10/2021,23/10/2021
3913,3337,5,14,149.8,0,4,22/10/2021,23/10/2021
3915,9960,73,109,732.9,2,6,22/10/2021,23/10/2021
3916,952,0,1,0,0,0,22/10/2021,23/10/2021
3918,3704,7,13,189,1,4,22/10/2021,23/10/2021
3919,3182,15,20,471.4,1,5,22/10/2021,23/10/2021
3920,1037,1,2,96.4,0,3,22/10/2021,23/10/2021
3921,114,0,0,0,0,0,22/10/2021,23/10/2021
3922,7740,1,3,12.9,0,1,22/10/2021,23/10/2021
3923,516,1,1,193.8,0,4,22/10/2021,23/10/2021
3925,3377,3,5,88.8,1,3,22/10/2021,23/10/2021
3926,3240,2,6,61.7,0,3,22/10/2021,23/10/2021
3927,1671,1,5,59.8,0,3,22/10/2021,23/10/2021
3928,413,0,1,0,0,0,22/10/2021,23/10/2021
3929,906,0,9,0,0,0,22/10/2021,23/10/2021
3930,17889,7,30,39.1,1,2,22/10/2021,23/10/2021
3931,23991,21,109,87.5,1,3,22/10/2021,23/10/2021
3933,1101,2,7,181.7,0,4,22/10/2021,23/10/2021
3934,18547,18,56,97.1,1,3,22/10/2021,23/10/2021
3936,11024,12,26,108.9,0,4,22/10/2021,23/10/2021
3937,1519,1,1,65.8,0,3,22/10/2021,23/10/2021
3938,2820,1,5,35.5,0,2,22/10/2021,23/10/2021
3939,14522,35,66,241,8,5,22/10/2021,23/10/2021
3940,4930,9,21,182.6,1,4,22/10/2021,23/10/2021
3941,12174,19,42,156.1,3,4,22/10/2021,23/10/2021
3942,2317,1,12,43.2,0,2,22/10/2021,23/10/2021
3943,1593,2,12,125.5,0,4,22/10/2021,23/10/2021
3944,510,0,7,0,0,0,22/10/2021,23/10/2021
3945,976,8,9,819.7,0,6,22/10/2021,23/10/2021
3946,216,0,0,0,0,0,22/10/2021,23/10/2021
3950,4798,3,13,62.5,0,3,22/10/2021,23/10/2021
3951,1005,0,1,0,0,0,22/10/2021,23/10/2021
3953,7859,1,6,12.7,0,1,22/10/2021,23/10/2021
3954,404,0,0,0,0,0,22/10/2021,23/10/2021
3956,2818,0,2,0,0,0,22/10/2021,23/10/2021
3957,279,0,0,0,0,0,22/10/2021,23/10/2021
3958,272,0,0,0,0,0,22/10/2021,23/10/2021
3959,1153,0,0,0,0,0,22/10/2021,23/10/2021
3960,2477,0,1,0,0,0,22/10/2021,23/10/2021
3962,913,0,0,0,0,0,22/10/2021,23/10/2021
3964,133,0,0,0,0,0,22/10/2021,23/10/2021
3965,208,1,1,480.8,0,5,22/10/2021,23/10/2021
3966,510,0,0,0,0,0,22/10/2021,23/10/2021
3967,127,0,1,0,0,0,22/10/2021,23/10/2021
3971,4017,3,4,74.7,0,3,22/10/2021,23/10/2021
3975,15246,70,206,459.1,2,5,22/10/2021,23/10/2021
3976,25532,254,501,994.8,13,6,22/10/2021,23/10/2021
3977,93322,695,1508,744.7,48,6,22/10/2021,23/10/2021
3978,10648,261,537,2451.2,29,7,22/10/2021,23/10/2021
3979,315,1,1,317.5,1,5,22/10/2021,23/10/2021
3980,3350,5,16,149.3,2,4,22/10/2021,23/10/2021
3981,4901,21,27,428.5,0,5,22/10/2021,23/10/2021
3984,5212,7,23,134.3,0,4,22/10/2021,23/10/2021
3987,1527,3,6,196.5,0,4,22/10/2021,23/10/2021
3988,1001,1,4,99.9,0,3,22/10/2021,23/10/2021
3990,110,0,0,0,0,0,22/10/2021,23/10/2021
3991,357,0,0,0,0,0,22/10/2021,23/10/2021
3992,966,2,4,207,0,5,22/10/2021,23/10/2021
3995,10171,13,19,127.8,2,4,22/10/2021,23/10/2021
3996,5541,2,6,36.1,0,2,22/10/2021,23/10/2021
9998,,10,250,0,2,0,22/10/2021,23/10/2021
9999,,221,772,0,8,0,22/10/2021,23/10/2021
